,osmid,geometry,power,element_type,amenity,name,created_by,addr:city,addr:country,addr:housenumber,addr:postcode,addr:state,addr:street,cuisine,opening_hours,phone,survey:date,website,source:addr,outdoor_seating,addr:unit,air_conditioning,alt_name,bar,contact:facebook,delivery,diet:pescetarian,diet:vegetarian,drive_in,drive_through,email,old_name,short_name,takeaway,addr:housename,addr:suite,ele,gnis:county_id,gnis:created,gnis:feature_id,gnis:state_id,diet:gluten_free,diet:vegan,shop,brand,brand:wikidata,brand:wikipedia,official_name,wheelchair,building,entrance,fax,smoking,contact:email,contact:instagram,contact:phone,contact:website,pricerange,source,microbrewery,description,name:ja,operator,GPS,capacity,covered,int_name,brewery,reservation,level,wifi,internet_access,internet_access:fee,designation,addr:full,dispensing,oven,toilets:wheelchair,wikidata,wikipedia,contact:fax,fixme,contact:foursquare,contact:twitter,ref,wheelchair:description,construction,opening_hours:url,location,start_date,note,long_name,payment:bitcoin,disused:amenity,firearms,alcohol,buffet,opening_hours:note,office,name:en,opening_hours:rubbish,amenity_1,source:date,phone_1,cuisine_1,payment:cash,payment:cheque,payment:credit_cards,attribution,amenity_2,internet_access:ssid,cuisine_2,access,organic,food,restaurant,source:name,contact:yelp,payment:american_express,payment:discover_card,payment:mastercard,payment:visa,leisure,drink:beer,name:zh,was:contact:facebook,contact:google_plus,owner,facebook,link,payment:coins,payment:notes,payment:visa_debit,name:es,source:stars,stars,craft,theme,toilets,toilets:access,addr:place,height,vegan,vegetarian,opening_hours:signed,delivery:partner,takeaway:partner,atm,ice_cream,door,diet:halal,diet:dairy_free,contact:tripadvisor,diet:meat,payment:debit_cards,nodes,gnis:county_name,gnis:import_uuid,motorcycle_friendly,tourism,url,building:use,building:levels,building:material,FIXME,imagery_source,layer,diaper:female,diaper:male,name:ko,takeout,nonsquare,area,contact:linkedin,loc_name,roof:shape,source:geometry,old_name:1,old_name:2,old_name:3,historic,image,breakfast,breakfast:menu,lunch,lunch:menu,building:part,building:colour,old_name:1950-2013,roof:levels,cabin:rental,fee,motorcycle:theme,shop_1,landuse,noname,internet_access:type,parking,product,roof:colour,not:brand:wikidata,branch,note:reservation,FID,opening_hours:Upstairs_Steamer_Bar,alt_name:1,type,ways
266302295,266302295,POINT (-78.9189592 36.0164193),,node,restaurant,Watts Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300269657,300269657,POINT (-78.9190261 36.0157299),,node,restaurant,Palace International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315602700,315602700,POINT (-78.9298635 35.9200744),,node,restaurant,Bocci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315605227,315605227,POINT (-78.92964360000001 35.9204394),,node,restaurant,Nantucket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368983251,368983251,POINT (-78.9180611 36.0230655),,node,restaurant,La Cacerola,,,,,,,,honduran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429517128,429517128,POINT (-79.4275633 35.734174),,node,restaurant,Smithfield BBQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429517994,429517994,POINT (-79.4456478 35.7334077),,node,restaurant,Sir Pizza of Siler City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429596054,429596054,POINT (-78.8765894 35.7525674),,node,restaurant,Daniel's Pizza Pasta Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429597460,429597460,POINT (-78.87022930000001 35.7426548),,node,restaurant,Carrabba's Italian Grill,,,,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrabba's Italian Grill,Q5045999,en:Carrabba's Italian Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462242410,462242410,POINT (-78.93764899999999 35.910195),,node,restaurant,Shiki Sushi,,,,,,,,japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
