,index,FID,Exit_ID,Longitude,Latitude,County,State,Highway,Type,AADT,Pop_dens,Comm_1mi,Ports_5mi,Ports_10mi,Ports_20mi,Close_nonT,SHAPE,Flood_Zone
0,0,7059,US-64_Cherokee_NC_Exit_1,-84.31430369,35.01949185,Cherokee,NC,U.S. Highway 64,Exit/Intersection,3700,60.34978957,1,0,0,0,34.09415246,"{'x': -84.31430368976345, 'y': 35.01949184966918, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
1,1,7060,US-64_Cherokee_NC_Exit_2,-84.31149166,35.01493338,Cherokee,NC,U.S. Highway 64,Exit/Intersection,3700,60.34978957,1,0,0,0,34.36523013,"{'x': -84.31149165991212, 'y': 35.01493337957186, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
2,2,7061,US-64_Cherokee_NC_Exit_3,-84.29552779,35.01356059,Cherokee,NC,U.S. Highway 64,Exit/Intersection,3900,60.34978957,0,0,0,0,35.23397921,"{'x': -84.29552778977563, 'y': 35.01356058964956, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
3,3,7062,US-64_Cherokee_NC_Exit_4,-84.2802909,35.01287995,Cherokee,NC,U.S. Highway 64,Exit/Intersection,3900,60.34978957,0,0,0,0,36.0483027,"{'x': -84.28029090010494, 'y': 35.012879950349486, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
4,4,7063,US-64_Cherokee_NC_Exit_5,-84.27519012,35.01781612,Cherokee,NC,U.S. Highway 64,Exit/Intersection,3900,60.34978957,0,0,0,0,36.18659703,"{'x': -84.27519011992803, 'y': 35.01781612041765, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
5,5,7064,US-64_Cherokee_NC_Exit_6,-84.26281133,35.01153066,Cherokee,NC,U.S. Highway 64,Exit/Intersection,3900,60.34978957,1,0,0,0,37.00009914,"{'x': -84.2628113296791, 'y': 35.01153065971221, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
6,6,7065,US-64_Cherokee_NC_Exit_7,-84.25080971,35.02090311,Cherokee,NC,U.S. Highway 64,Exit/Intersection,3900,60.34978957,2,0,0,0,37.39563035,"{'x': -84.25080970970032, 'y': 35.02090310989064, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
7,7,7066,US-64_Cherokee_NC_Exit_8,-84.23211033,35.02088855,Cherokee,NC,U.S. Highway 64,Exit/Intersection,4500,60.34978957,1,0,0,0,38.38837902,"{'x': -84.23211033032743, 'y': 35.020888549866754, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
8,8,7067,US-64_Cherokee_NC_Exit_9,-84.21334694,35.02875107,Cherokee,NC,U.S. Highway 64,Exit/Intersection,5400,60.34978957,0,0,0,0,39.2070827,"{'x': -84.21334693990929, 'y': 35.028751069806106, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
9,9,7068,US-64_Cherokee_NC_Exit_10,-84.20458181,35.02871982,Cherokee,NC,U.S. Highway 64,Exit/Intersection,5400,60.34978957,0,0,0,0,39.67779582,"{'x': -84.20458181000248, 'y': 35.028719820163644, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
10,10,7069,US-64_Cherokee_NC_Exit_11,-84.19975739,35.02412858,Cherokee,NC,U.S. Highway 64,Exit/Intersection,5400,60.34978957,0,0,0,0,40.03955849,"{'x': -84.19975738969174, 'y': 35.024128579670275, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
11,11,7070,US-64_Cherokee_NC_Exit_12,-84.19040857,35.01629244,Cherokee,NC,U.S. Highway 64,Exit/Intersection,5400,60.34978957,1,0,0,0,40.71909574,"{'x': -84.19040857009941, 'y': 35.016292440443806, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
12,12,7071,US-64_Cherokee_NC_Exit_13,-84.18160766,35.01805579,Cherokee,NC,U.S. Highway 64,Exit/Intersection,5400,60.34978957,1,0,0,0,41.14925326,"{'x': -84.18160765976563, 'y': 35.01805578974296, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
13,13,7072,US-64_Cherokee_NC_Exit_14,-84.16513252,35.02656024,Cherokee,NC,U.S. Highway 64,Exit/Intersection,7400,60.34978957,1,0,0,0,41.84671473,"{'x': -84.16513251965, 'y': 35.02656024036287, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
14,14,7073,US-64_Cherokee_NC_Exit_15,-84.16082617,35.0289277,Cherokee,NC,U.S. Highway 64,Exit/Intersection,7400,60.34978957,0,0,0,0,42.02880302,"{'x': -84.16082616999171, 'y': 35.028927700253234, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
